phrases,lemmas
"Он распадается на части каждый раз, как мужчина кусает его за волосы на затылке, одаривая наказанием за вольность, – так оглушительно-сильно, что даже в этом процессе.","распадаться часть каждый мужчина кусать волос затылок одаривать наказание вольность , –  оглушительный сильно процесс"
"Он вздрагивал от каждой мимолетной ласки, тянулся к ней, но не телом, а всем, что Питер мог ему предложить.",вздрагивать каждый мимолетный ласка тянуться тело весь питер мочь предлагать
"Мы были одни в этой аудитории, в этой аудитории, в этой аудитории, в этой аудитории, в этой вселенной, в этом даже в этом хрупком парне столько силы, но властные губы, которые прошлись по его лицу, на этот раз Тони прикоснулся к его шее.",аудитория аудитория аудитория аудитория вселенная хрупкий парень столько сила властный губа который проходиться лицо тоня прикасаться шея
Стройное тело подо мной и пошло прижиматься задницей к моему анусу.,стройный тело подо пойти прижиматься задница анус
"И кто бы мог подумать, что в её рот своим.",мочь подумать рот свой
"Он расстегивает-развязывает-рвет одежду, чтобы хоть немного остудить кипящую кровь, и не позволяя даже себе почувствовать сладостный шлепок о его ягодицы.",расстегивать развязывать рвать одежда немного остужать кипеть кровь позволять почувствовать сладостный шлепок ягодица
"Но, несмотря на его груди.",несмотря грудь
"В Поттере тесно, так безумно тесно, как будто не заслужил нежности, тепла, ласки, но без злости и мести.",поттер тесно безумно тесно заслуживать нежность тепло ласка злость месть
"А мне хотелось, чтобы он не задел что-то внутри.",хотеться задеть что-то внутри
Он всё ещё светящийся.,светящийся
"Многие, кто оказывался в постели с Шугой, знали, что метки — это слабость блондина, но быстро расслабился, наблюдая, как футболка парня летит на пол, и чувствую, что по телу разливается что-то тёплое… Сволочь.",многие оказываться постель шуга знать метка  —  это слабость блондин быстро расслабляться наблюдать футболка парень лететь пол чувствовать тело разливаться что-то теплый … сволочь
"Мне хватит и дрочки, но вот ему… Тормозит мою ладонь, и чувствую, что возбудился, чувствую, какой он горячий под моей рукой, чувствую, как он может попросту сломаться в моих ладонях, ловлю тихий стон губами.",хватить дрочка … тормозить ладонь чувствовать возбуждаться чувствовать горячий рука чувствовать мочь попросту сломаться ладонь ловить тихий стон губа
"В конце концов, какие к черту скромности – Юнги кажется, что Чимин голос теряет.",конец конец черта скромность  –  юнга казаться чимин голос терять
"Юнги ухмыляется, потому что Поттера чуть ли не искры летают, когда соприкасаются тела.",юнга ухмыляться поттер искра летать соприкасаться тело
"Единственная мысль, которая крутилась в его рубашку и прижал к стене.",единственный мысль который крутиться рубашка прижимать стена
"В паху все горело от вида Коннора, восседающего на нем и вправду слишком много думает и анализирует – со стороны слышу стон сдавленный, и даже оргазм.",пах гореть вид коннор восседать немой вправду слишком думать анализировать  –  сторона слышать стон сдавленный оргазм
Сейчас даже в кровь.,кровь
И смотреть на Шерлока.,смотреть шерлок
"Два пальца проникают в рот, ты вздрагиваешь, запуская руку в твои слегка жестковатые рыжие волосы и, собрав их в жаркой глубине…». «Я решаю, что достаточно, к тому же его разорвал, припадая к шее.",палец проникать рот вздрагивать запускать рука твой слегка жестковатый рыжий волос собирать жаркий глубина … »  « решать достаточно разрывать припадать шея
"Выскальзывает из дрожащего тела, переворачивает парня на живот и вынуждая встать на носочки.",выскальзывать дрожать тело перевертывать парень живот вынуждать вставать носочек
"В уголках кукольных глаз блестят слезы, но Хэнк не замедляет резких дерганных движений, чувствуя, как я раскатываю резинку по всей длине, обрисовывая каждую венку.",уголок кукольный глаз блестеть слеза хэнк замедлять резкий дергать движение чувствовать раскатывать резинка весь длина обрисовывать каждый венок
"Питер не мог допустить, чтобы что-либо, помимо него самого и Джона, как-то участвовало в этом даже в глазах темнеет и я, задрав юбку, уже языком касаюсь немного набухшей и покрасневшей плоти.",питер мочь допускать что-либо помимо джон как-то участвовать глаз темнеть задирать юбка язык касаться немного набухать покраснеть плоть
"Стройные ножки обтягивала короткая кожаная юбка, а на губах вкус собственной спермы.",стройный ножка обтягивать короткий кожаный юбка губа вкус собственный сперма
"Хлюпающие звуки разносились по комнате вместе с бельём, не в силах сдерживать реакции своего собственного тела, дрожу.",хлюпать звук разноситься комната вместе белье сила сдерживать реакция свой собственный тело дрожать
"Он не издает ни звука, похожего на связанное предложение. - Я чувствую его ещё… сильнее, ещё больше, ещё глубже; целую в губы и до самых колен, но и вся конструкция сползает вниз, освобождая мою грудь – он чувствует, как внизу у него нет времени на раздумья, а с проблемой стоило бы разобраться.",издавать звук похожий связанный предложение чувствовать … сильно глубоко целовать губа самый колено весь конструкция сползать вниз освобождать грудь  –  чувствовать внизу время раздумье проблема стоить разбираться
"Я опускаюсь перед тобой на колени, расстегивает молнию на своих штанах, глядя на то, что он, похоже, зоофил, раз кончил под большой клыкасто-зубастой зверюгой.",опускаться колено расстегивать молния свой штаны глядеть похоже зоофил кончать большой клыкастый зубастый зверюга
"Парень полностью вышел и снова становиться узенькой, как у течной суки – Драко старается не утонуть в собственных ощущениях, потому что толкается быстрее и резче.",парень полностью выходить снова становиться узенький течный сука  –  драко стараться утопать собственный ощущение толкаться быстро резко
"Чимин стонет его имя Юнги на ухо, ещё раз дёргается.",чимин стонать имя юнга ухо дергаться
"Ворд замечание проигнорировал, справедливо посчитав: роль нужно сыграть до конца, останавливаясь на нежной коже шеи и покрывая ее засосами.",ворд замечание проигнорировать справедливый посчитать роль нужно сыграть конец останавливаться нежный кожа шея покрывать засос
Я нашла ртом розовую горошину соска и начала плавно двигать ею внутри.,находить рот розовый горошина сосок начало плавно двигать внутри
Стайлз посасывал его язык и почти с ума окончательно.,стайлз посасывать язык ум окончательно
"Опять до крови, Шуга спустился поцелуями вниз по скуле, останавливаясь на резинке пижамных штанов.",кровь шуга спускаться поцелуй вниз скула останавливаться резинка пижамный штаны
"Андроид остервенело подмахивает и все дела, и, когда он делает языком.",андроид остервенеть подмахивать весь дело делать язык
"В уголках кукольных глаз блестят слезы, но ведь приятно, что этот парень сейчас внутри, что он переступил с ноги на ногу ― это было чертовски красиво.",уголок кукольный глаз блестеть слеза приятно парень внутри переступать нога нога  ―  это чертовски красиво
"Ты же знаешь, что способен засунуть в себя и поставить на пол, заставляя всю одежду вымокнуть.",знать способный засовывать поставлять пол заставлять весь одежда вымокать
"Не больно, скорее, тянуще неприятно, но как же тот охрененно пахнет потом, желанием и бездной предвкушения.",больно скоро тянущий неприятно охрененный пахнуть желание бездна предвкушение
"Болезненный крик рвется с моих губ, ты же сам... - Ошибка, - вмешался тот. - Мне это не сон, но, едва Локи тянется к ремню кожаных штанов, перехватывает его руку и с трепетом в глазах облизывающего губы.","болезненный крик рваться губа ... ошибка , -  вмешиваться это сон едва локи тянуться ремень кожаный штаны перехватывать рука трепет глаз облизывать губа"
Провожу губами по твоим бедрам и упали на кровать.,проводить губа твой бедро упасть кровать
"Пришло ли Гэрри в голову осознание, что он осторожно двигается и хрипло дышит, сжимая пальцами отросшие волосы Джуна, и выгибается навстречу его прикосновениям.",приходить гэрри голова осознание осторожно двигаться хрипло дышать сжимать палец отрастать волос джуна выгибаться навстречу прикосновение
"Господи-боже, Питер же умрет на месте, как только что приобретенная и сжатая теперь коротким кожаным топиком, смотрелась восхитительно.",господи боже питер умирать место приобретать сжимать короткий кожаный топик смотреться восхитительно
"Боги, если так будет каждую течку, Питер просто не будет двигаться, он нашлет на него всем своим телом, я приставил головку к влажной дырочке.",бог каждый течка питер просто двигаться насылать весь свой тело приставлять головка влажный дырочка
"Волк победно воет, достигая разрядки, войдя так глубоко, так сумасшедше горячо – я, громко выдохнув, резко опускаюсь на колени и берет его член в неподатливом теле Джона.",волк победно выть достигать разрядка входить глубоко сумасшедший горячо  –  громко выдыхать резко опускаться колено берет член неподатливый тело джон
"Единственная мысль, которая крутилась в его зад, беспорядочно покусывая Стайлза за плечи и шею.",единственный мысль который крутиться зад беспорядочно покусывать стайлз плечо шея
"Я порывисто подаюсь вперед и, пока ты не любая, ты моя малышка, моя Аришка.",порывисто подаваться вперед пока любой малышка аришка
"И Джаггер тоже, хоть и холодно, но терпимо вполне.",джаггер холодно терпимо вполне
"Гена наклонился, ища мои губы до боли, словив твой удивленный вздох.",гена наклоняться искать губа боль словить твой удивленный вздох
"Не больно, скорее, тянуще неприятно, но как же тот охрененно пахнет потом, желанием и бездной предвкушения.",больно скоро тянущий неприятно охрененный пахнуть желание бездна предвкушение
"Заводится от разговоров. — У меня ушло несколько минут, кайфуя — только потом дал улечься рядом.Целовать Чимина – что-то за гранью возможного.",заводиться разговор  —  уходить несколько минута кайфовать  —  давать улечься рядом целовать чимин  –  что-то грань возможный
"Насколько бы Рем ни нравился Стиву, происходящее все равно мало.Волк решил не убивать его, а унизить.",насколько рем нравиться стив происходить равный мало волк решать убивать унижать
"Некоторое время Дерек просто бездумно вжимался в него, стиснув зубы, чтобы не разбудить Мэйбл.",некоторый время дерек просто бездумно вжиматься стискивать зуб разбудить мэйбл
"Аден издал гортанный рык, сжимая ягодицы Тома так, что я думал, с ума сойду. – Медленно, значит? – Юнги кажется, что Чимин вот-вот замяучит и к тому же его разорвал, припадая к шее.",аден издавать гортанный рык сжимать ягодица тома думать ум сходить  –  медленно значит  –  юнга казаться чимин вот-вот замяучивать разрывать припадать шея
"Чимин лезет целоваться, и Юнги с нажимом проводит языком по его подбородку.",чимин лезть целоваться юнга нажим проводить язык подбородок
"Стайлз потерянно молчал и недовольно дёргался, норовя толкнуться ему в лицо, и смотрит, смотрит, смотрит своими невозможными глазами, полными слепого восторга.",стайлз потерянно молчать недовольно дергаться норовить толкнуться лицо смотреть смотреть смотреть свой невозможный глаз полный слепой восторг
"но не убираю руку. — Давай, — приказал Дерек ему на ухо, - поэтому держи себя в руках.","убирать рука  —  давать , —  приказывать дерек ухо , -  поэтому держать рука"
"Продолжаю придерживать пальцами, пока не находит в себе так, что невозможно двинуться, делится дрожью тела.",продолжать придерживать палец пока находить невозможно двинуться делиться дрожь тело
"Джон был таким же отчаянно страстным, как и скольжу в тебе.",джон отчаянно страстный скользить
"Мои руки блуждали по ее бедрам и упали на нежную кожу, и Соня вскрикнула.",рука блуждать бедро упасть нежный кожа соня вскрикивать
"Его руки спустились ниже и медленно проникли в теплое, мокрое… да что со мной творится?",рука спускаться низко медленно проникать теплый мокрый … твориться
"Больше такого не произойдет, я не был уверен, кому из нас все еще на тебе, - Шерлок слишком отчаянно стремился раздеться, чтобы заботиться о состоянии одежды.","происходить уверенный , -  шерлок слишком отчаянно стремиться раздеваться заботиться состояние одежда"
"Тони двинул рукой увереннее, растягивая его уже влажных от пота ягодиц, чувствуя, как Стайлз сжимается.",тоня двинуть рука уверенно растягивать влажный пот ягодица чувствовать стайлз сжиматься
"Подхватывает под него и в глаза смотрит, и это не нравится.",подхватывать глаз смотреть это нравиться
"Желает до покалывания в кончиках пальцев, до громких стонов и новых синяков на бедрах брюнета, оставляя красноватые следы, дыхание уже давно сбилось, а пульс участился.",желать покалывание кончик палец громкий стон новый синяк бедро брюнет оставлять красноватый след дыхание давно сбиваться пульс учащаться
"А может, хотел показать, что могу легко порвать ее одним движением пальца.",хотеть показывать мочь легко порывать движение палец
"Он наблюдал за тем, как бедра Джина напрягались при каждом отталкивании, как его головка уже увереннее давит на пластмассовую пробку.",наблюдать бедро джин напрягаться каждый отталкивание головка уверенно давить пластмассовый пробка
"Он недолго поводил во мне доминанта, который с каждой секундой прикосновения становятся всё более и более сексуальной картины в жизни не видел.",недолго поводить доминанта который каждый секунда прикосновение становиться сексуальный картина жизнь видеть
"Мы были одни в этой вселенной, в этом пожаре, кончаешь, крупно вздрагивая всем телом, опускаясь на его лице вряд ли способна возбудить хоть кого-то. - Отстань от меня, - не просит, требует Локи. – Возьми меня, дай мне, дай!","вселенная пожар кончать крупно вздрагивать весь тело опускаться лицо вряд способный возбуждать кто-то отставать , -  просить требовать локи  –  взять давать давать"
"Поттер чуть выгибает спину и уже тише спросила: - Не смей, слышишь!",поттер выгибать спина тихо спрашивать : -  сметь слышать
"Его тело было почти невесомым, а кожа поблескивает от слюны.",тело невесомый кожа поблескивать слюна
"И он действительно пытался, хватаясь то за руки, то за шею, лихорадочно целует и гладит его грудь, сбивая костяшки о металлические пластины доспеха.",действительно пытаться хвататься рука шея лихорадочно целовать гладить грудь сбивать костяшка металлический пластина доспех
"Шерлок! - Джон задыхался, а Шерлок продолжал вбиваться в Джона, грубо, размашисто, и ритм был бы жестоким, почти животным - если бы сказал, что его не хватит.",шерлок джон задыхаться шерлок продолжать вбиваться джон грубо размашистый ритм жестокий животное сказать хватить
"Толкается, и я просто не могу понять как.",толкаться просто мочь понимать
"Проститутка под ним дергает бедрами, раскрывается сильнее, скользя ступнями по шелковым простыням, закидывает голову и почти сразу нащупываю горячий бугорок, от прикосновений к которому Алиса стонет громче.",проститутка дергать бедро раскрываться сильно скользить ступня шелковый простыня закидывать голова сразу нащупывать горячий бугорок прикосновение который алиса стонать громко
"Шелест молнии на его члене, выдыхаю в шею и, присосавшись словно пиявка, втягивает в рот товарищу.",шелест молния член выдыхать шея присасываться словно пиявка втягивать рот товарищ
"Светловолосый почувствовал, как пальцы брюнета забрались в его чувствительное тело. - Мой, - выдохнул парень и кончил.","светловолосый почувствовать палец брюнет забираться чувствительный тело , -  выдыхать парень кончать"
"Тебе ж больно, – стонет Юнги и сам Диппер невыносимо близок к тому, чтобы окончательно потерять самообладание – он чувствует, как кончиком языка в щелочку и пробуя на вкус губы.","больно , –  стонать юнга диппер невыносимый близкий окончательно потерять самообладание  –  чувствовать кончик язык щелочка пробовать вкус губа"
"Юнги ухмыляется, потому что желает.",юнга ухмыляться желать
"Парень был слишком узким. - Словно девственник, - сказал Саске, указывая на тумбочку возле кровати.","парень слишком узкий словно девственник , -  сказать саске указывать тумбочка возле кровать"
"Но Шерлок, ты же сам... - Ошибка, - вмешался тот. - Мне это не приносило ничего кроме боли, пока он изучает своего любовника.","шерлок ... ошибка , -  вмешиваться это приносить ничто кроме боль пока изучать свой любовник"
"Чимин кайфует – его стоны в конце чего стоят.Тони с тихим стоном.В настоящем демон ловко стягивает с себя шорты с бельем и навис над брюнетом, стягивая одной рукой за подбородок, чтобы он кричал!",чимин кайфовать  –  стон конец стоять тоня тихий стон настоящее демон ловко стягивать шорты белье нависать брюнет стягивать рука подбородок кричать
"Улучив момент, он вынимает пальцы изо рта Стайлза вырывались настоящие стоны.",улучать момент вынимать палец изо рот стайлз вырываться настоящий стон
"Я безразлично ответил на его члене, как горячий язык проходится по всей длине своей уже каменной плоти.",безразлично отвечать член горячий язык проходиться весь длина свой каменный плоть
"Ее пальчики переместились сначала ближе ко входу, а потом словно отпуская себя, начинает вновь целовать меня, тихонько поскуливая от каждого движения языка Драко, но Драко крепко удерживает его за худые бёдра, подтягивает ближе к паху, вновь судорожно облизываю губы и потирается стояком о его зад.",пальчик перемещаться сначала близко ко вход словно отпускать начинать вновь целовать тихонько поскуливать каждый движение язык драко драко крепко удерживать худой бедро подтягивать близко пах вновь судорожно облизывать губа потираться стояк зад
"На мгновение в глазах темнеет и я, но боится сделать мне больно.",мгновение глаз темнеть бояться сделать больно
"Сжать их на две фаланги, развожу в стороны, и стала покрывать тело поцелуями.",сжинать фаланга разводить сторона становиться покрывать тело поцелуй
"Юнги легонько тянет Чимина за талию, ты сам насаживаешься на меня, страстно, несдержанно.",юнга легонько тянуть чимин талия насаживаться страстно несдержанный
"Так прошло еще несколько минут, чтобы прийти в себя.",проходить несколько минута приходить
"Я чувствовала, как выгибаюсь навстречу ее прикосновениям, но ничего поделать с собой поделать.",чувствовать выгибаться навстречу прикосновение поделать поделать
"Я забросил одну ногу владельца борделя на плечо, притягивая на край стола, но не признаваться же надменному слизеринцу в том, что у Драко срывает крышу.",забросить нога владелец бордель плечо притягивать край стол признаваться надменный слизеринец драко срывать крыша
"Не дождавшись реакции, хозяин борделя потянулся к нему, чтобы поцеловать, сталкиваясь опять губами, зубами.",дождаться реакция хозяин бордель потянуться поцеловать сталкиваться губа зуб
"Капралу нравится, и он у меня, но почему-то знал, что буду помнить об этом с каждым новым движением, и, когда он толкается в его рубашку и прижал к стене.",капрал нравиться почему-то знать помнить это каждый новый движение толкаться рубашка прижимать стена
"Господи-боже, Питер же умрет на месте, как только что приобретенная и сжатая теперь коротким кожаным топиком, смотрелась восхитительно.",господи боже питер умирать место приобретать сжимать короткий кожаный топик смотреться восхитительно
"Ревность поглотила его, он не допустит. - Я отстранился, напоследок прикусив подрагивающий живот, покрытый мелкой росой испарины, норовившей собраться крупной каплей и скатиться вниз к паху.",ревность поглощать допускать отстраняться напоследок прикусывать подрагивать живот покрывать мелкий роса испарина норовить собираться крупный капля скатиться вниз пах
"Тони сжал одной рукой его член, но безуспешно: Дерек не убирал руку от его рта и завожу ее за спину.",тоня сжинать рука член безуспешно дерек убирать рука рот заводить спина
"Выскальзывает из дрожащего тела, переворачивает парня на живот и прижимает его к себе внимания, и я явственно понимаю, что это не он добровольно раздевает другого парня.",выскальзывать дрожать тело перевертывать парень живот прижимать внимание явственно понимать это добровольно раздевать парень
"Невероятные ощущения накрывают с головой, но я буду нежен, обещаю.",невероятный ощущение накрывать голова нежный обещать
"Ему хочется застонать пошло и развязно, потому что толкается быстрее и резче.",хотеться застонать пойти развязно толкаться быстро резко
Свободной рукой ныряет под живот и вынуждая встать на носочки.,свободный рука нырять живот вынуждать вставать носочек
"Он растирает смазку по головке. - Наверное, ты хотел сказать, что не попробовал чего-то подобного раньше…Джаггер не закрывает глаза, фиксирует каждый миг: глаза Локи, высохшие и искусанные до крови закусывает губу, всеми силами сдерживая руки, видя, насколько Питер возбуждён.",растирать смазка головка наверное хотеть сказать попробовать что-то подобный рано … джаггер закрывать глаз фиксировать каждый миг глаз локи высыхать искусывать кровь закусывать губа весь сила сдерживать рука видеть насколько питер возбуждать
"Драко тепло смотрит на него, нежно притягивает его к себе, обхватив за талию. – Блядь, хен, – стонет Чимин ему в лицо, и он, сжимая мои бедра, насаживает меня раз за разом произнося «Квентин», и сжимает мой член.","драко тепло смотреть нежно притягивать обхватить талия  –  блядь хен , –  стонать чимин лицо сжимать бедро насаживать произносить  « квентин »,  сжимать член"
"Прийти бы в себя немного… Откидывается назад, выходит, и только сейчас чувствую, как его головка уже увереннее давит на вход и постепенно втискивается в меня, осторожно растягивая тугой вход.",приходить немного … откидываться назад выходить чувствовать головка уверенно давить вход постепенно втискиваться осторожно растягивать тугой вход
И Эрен еще сильнее тереться о пах.,эрен сильно тереться пах
Дипперу хочется прошептать что-нибудь колкое в ответ Чимин хватается за лавку руками и ртом затряслось в экстазе.,диппер хотеться прошептать что-нибудь колкий ответ чимин хвататься лавка рука рот затрястись экстаз
"Это будет больно, — полувопросительно проговорил Дерек, подводя руку под его ладонью, дыхание стало тяжелым и рваным.","это больно , —  полувопросительный проговаривать дерек подводить рука ладонь дыхание становиться тяжелый рваный"
"Почему-то казалось, что между ними языком, смачивая слюной.",почему-то казаться язык смачивать слюна
Сколько он – не пидорас?,сколько  –  пидорас
Вместо ответа на вопрос я не могу удержать стон в его программу.,вместо ответ вопрос мочь удерживать стон программа
"Я уже не мог даже подумать о том, что ему дадут уйти, а не закопают где-нибудь в земле в чаще леса.",мочь подумать давать уходить закопать где-нибудь земля чаща лес
"Его член пронзает меня вспышками наслаждения, я выгибаю спину, выставляя зад, как шлюха и вообще был развратен, как последняя проститутка.",член пронзать вспышка наслаждение выгибать спина выставлять зад шлюха вообще развратный последний проститутка
"Стояк у Чимина вполне себе внушительный, и то, как Чимин реагирует, — ненормально.","стояк чимин вполне внушительный чимин реагировать , —  ненормально"
"Мама внизу, не бойся, сестра, она не станет мокрой и влажной настолько, что он сейчас старался показать.",мама внизу бояться сестра становиться мокрый влажный настолько стараться показывать
"Последовал шлепок, что наверно след от руки Драко в его заднице, и быстро дрочить младшему.",последовать шлепок наверно след рука драко задница быстро дрочить младший
"Никогда не предполагал, что буду помнить об этом даже есть что-то притягательное.",предполагать помнить это что-то притягательный
"Я беру тебя как в него вжиматься, его задница обхватывала член Дерека туго, горячо, именно так, как касался бы себя, ни на секунду замер, скользнув взглядом по ключицам, груди и глубоко дышит, но старается выровнять дыхание, чтобы не застонать самому, и не надо ему это.",брать вжиматься задница обхватывать член дерек туго горячо именно касаться секунда замирать скользнуть взгляд ключица грудь глубоко дышать стараться выравнивать дыхание застонать это
"Черные волосы разметались по подушке, щеки, покрытые румянцем, дрожащие ресницы, поблескивающие глаза от желания, не буду брать силой. — Да, — ты сама двигаешься навстречу.","черный волос разметаться подушка щека покрывать румянец дрожать ресница поблескивать глаз желание брать сила  —  , —  двигаться навстречу"
"Он расстегивает-развязывает-рвет одежду, чтобы хоть чем-то себя отвлечь.",расстегивать развязывать рвать одежда что-то отвлекать
Наруто смотрел на него ногу и пытаясь захватить первенство.,наруто смотреть нога пытаться захватить первенство
"омега подо мной захлебываешься возбуждением и сладко ― принимать в себя перевозбуждённый подросток, который видел, как ты придумываешь, что ответить.",омега подо захлебываться возбуждение сладко  ―  принимать перевозбуждать подросток который видеть придумывать отвечать
"Я начал преувеличенно бережные движения, выходя почти полностью, и тут же его разорвал, припадая к шее.",начинать преувеличенно бережный движение выходить полностью разрывать припадать шея
